Speaker,VeryNegative,Negative,Neutral,Positive,VeryPositive,N,P
PAUL,0.01838235294117647,0.5220588235294118,0.22426470588235295,0.09926470588235294,0.13602941176470587,0.5404411764705883,0.23529411764705882
CRUZ,0.037122969837587005,0.5197215777262181,0.1902552204176334,0.09976798143851508,0.1531322505800464,0.5568445475638051,0.2529002320185615
FIORINA,0.01107011070110701,0.4981549815498155,0.22878228782287824,0.15129151291512916,0.11070110701107011,0.5092250922509225,0.26199261992619927
CLINTON,0.01669449081803005,0.5525876460767947,0.16193656093489148,0.1335559265442404,0.1352253756260434,0.5692821368948248,0.2687813021702838
BUSH,0.024630541871921183,0.49261083743842365,0.21182266009852216,0.1330049261083744,0.13793103448275862,0.5172413793103449,0.270935960591133
KASICH,0.022950819672131147,0.5377049180327869,0.16721311475409836,0.16393442622950818,0.10819672131147541,0.5606557377049181,0.2721311475409836
RUBIO,0.01569506726457399,0.594170403587444,0.10089686098654709,0.12780269058295965,0.16143497757847533,0.609865470852018,0.289237668161435
O'MALLEY,0.017114914425427872,0.530562347188264,0.1466992665036675,0.1980440097799511,0.10757946210268948,0.5476772616136919,0.3056234718826406
CARSON,0.023890784982935155,0.5324232081911263,0.13651877133105803,0.13310580204778158,0.17406143344709898,0.5563139931740615,0.30716723549488056
SANDERS,0.02086677367576244,0.4751203852327448,0.1958266452648475,0.14125200642054575,0.16693418940609953,0.49598715890850725,0.3081861958266453
CHRISTIE,0.04416403785488959,0.501577287066246,0.138801261829653,0.17665615141955837,0.138801261829653,0.5457413249211356,0.3154574132492114
TRUMP,0.021116138763197588,0.4374057315233786,0.22473604826546004,0.17345399698340874,0.14328808446455504,0.45852187028657615,0.3167420814479638
